Choose hometown or travel,age,job,back home frequency,location of work (school),hometown location,distance between the above two,interpersonal relationship,family relationship,gender,financial situation(income),have boy/girlfriend/husband/wife,transportation
back hometown,30,office worker,about a month,west,north,100-150km,attend friend gatherings occasionally (1-2 times a week),good,female,30000-60000,no,train bus or ship
back hometown,23,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,train bus or ship
back hometown,20,student(part-time),about a month,north,south,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,train bus or ship
back hometown,29,office worker,everyday,north,north,below 50 km,never or seldom,good,male,30000-60000,no,train bus or ship
back hometown,28,office worker,three months to half a year,west,south,100-150km,never or seldom,good,female,30000-60000,yes,drive or ride by yourself
back hometown,87,student,about a month,north,west,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,yes,train bus or ship
travel,25,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,30000-60000,no,drive or ride by yourself
back hometown,25,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,yes,train bus or ship
back hometown,21,student,two to three months,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,yes,train bus or ship
back hometown,20,student(part-time),once every two weeks(or less),north,north,below 50 km,attend friend gatherings (more than twice a week),good,male,0-30000,yes,drive or ride by yourself
back hometown,23,student,once every two weeks(or less),south,south,below 50 km,never or seldom,good,male,zero,no,HSR or airplane
back hometown,20,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings (more than twice a week),good,male,zero,yes,train bus or ship
travel,31,office worker,once every two weeks(or less),north,north,below 50 km,never or seldom,good,male,zero,yes,train bus or ship
back hometown,18,student(part-time),once every two weeks(or less),west,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,yes,train bus or ship
travel,23,student,once every two weeks(or less),west,west,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,drive or ride by yourself
back hometown,20,student,about a month,south,north,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
travel,49,office worker,three months to half a year,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,60000 above,yes,drive or ride by yourself
back hometown,25,office worker,about a month,east,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,no,train bus or ship
travel,22,student,everyday,south,south,below 50 km,never or seldom,normal,male,zero,yes,drive or ride by yourself
back hometown,19,student(part-time),once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,no,drive or ride by yourself
back hometown,26,office worker,about a month,north,south,over 200 km,attend friend gatherings (more than twice a week),good,female,30000-60000,yes,HSR or airplane
travel,22,student(part-time),once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,yes,train bus or ship
back hometown,26,office worker,once every two weeks(or less),south,south,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,drive or ride by yourself
travel,32,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,female,30000-60000,no,drive or ride by yourself
back hometown,24,student,half a year to one year,north,outlying island(foreign),over 200 km,never or seldom,good,female,0-30000,no,train bus or ship
back hometown,19,student,about a month,north,south,over 200 km,never or seldom,good,male,zero,no,HSR or airplane
back hometown,24,student,once every two weeks(or less),north,west,50-100km,never or seldom,normal,female,60000 above,no,train bus or ship
back hometown,22,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,no,train bus or ship
back hometown,21,student,once every two weeks(or less),west,west,below 50 km,never or seldom,good,female,zero,yes,train bus or ship
back hometown,20,student,once every two weeks(or less),west,north,150-200km,never or seldom,good,male,zero,no,train bus or ship
back hometown,34,office worker,everyday,north,north,below 50 km,attend friend gatherings (more than twice a week),good,female,0-30000,no,train bus or ship
travel,26,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,30000-60000,yes,drive or ride by yourself
back hometown,26,student,once every two weeks(or less),north,north,below 50 km,never or seldom,normal,male,0-30000,no,drive or ride by yourself
back hometown,19,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings (more than twice a week),good,female,zero,no,train bus or ship
back hometown,30,office worker,once every two weeks(or less),north,west,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,60000 above,yes,drive or ride by yourself
back hometown,19,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
travel,25,office worker,everyday,north,north,below 50 km,never or seldom,normal,male,30000-60000,no,drive or ride by yourself
back hometown,19,student,two to three months,north,north,below 50 km,never or seldom,good,male,zero,no,drive or ride by yourself
back hometown,22,student(part-time),about a month,north,south,over 200 km,attend friend gatherings (more than twice a week),good,female,0-30000,no,train bus or ship
back hometown,18,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
travel,36,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,yes,drive or ride by yourself
back hometown,31,office worker,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,30000-60000,no,drive or ride by yourself
back hometown,23,student,once every two weeks(or less),north,east,100-150km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,yes,train bus or ship
back hometown,30,office worker,about a month,north,north,below 50 km,attend friend gatherings (more than twice a week),normal,male,30000-60000,no,train bus or ship
back hometown,23,student,once every two weeks(or less),north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,drive or ride by yourself
back hometown,30,office worker,three months to half a year,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,yes,HSR or airplane
back hometown,18,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,no,train bus or ship
travel,34,office worker,half a year to one year,north,south,over 200 km,never or seldom,normal,female,30000-60000,no,HSR or airplane
back hometown,25,office worker,about a month,north,south,over 200 km,attend friend gatherings (more than twice a week),good,male,0-30000,yes,HSR or airplane
travel,25,office worker,about a month,north,west,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,yes,train bus or ship
back hometown,20,student,once every two weeks(or less),south,north,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,drive or ride by yourself
back hometown,18,student,half a year to one year,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,yes,train bus or ship
back hometown,24,student,half a year to one year,north,outlying island(foreign),over 200 km,attend friend gatherings (more than twice a week),good,male,0-30000,yes,HSR or airplane
back hometown,21,student,once every two weeks(or less),west,south,over 200 km,attend friend gatherings (more than twice a week),good,female,zero,no,train bus or ship
back hometown,20,student,two to three months,north,south,over 200 km,never or seldom,good,male,zero,no,drive or ride by yourself
back hometown,19,student,two to three months,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,HSR or airplane
back hometown,21,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,drive or ride by yourself
back hometown,29,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,yes,train bus or ship
back hometown,21,student,once every two weeks(or less),north,north,50-100km,never or seldom,good,male,zero,no,train bus or ship
back hometown,21,student(part-time),once every two weeks(or less),north,west,100-150km,never or seldom,good,female,0-30000,yes,train bus or ship
back hometown,26,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,female,30000-60000,no,drive or ride by yourself
back hometown,25,office worker,three months to half a year,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,60000 above,yes,HSR or airplane
back hometown,20,student,about a month,west,south,150-200km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,43,office worker,once every two weeks(or less),outlying island(foreign),north,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,60000 above,yes,HSR or airplane
back hometown,23,student,two to three months,south,north,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,HSR or airplane
back hometown,35,office worker,about a month,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,yes,drive or ride by yourself
back hometown,23,student,two to three months,south,north,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,HSR or airplane
back hometown,21,student,two to three months,north,south,150-200km,never or seldom,normal,male,zero,no,HSR or airplane
back hometown,22,student,two to three months,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
travel,25,office worker,about a month,south,south,below 50 km,attend friend gatherings (more than twice a week),normal,male,30000-60000,yes,drive or ride by yourself
back hometown,20,student,two to three months,east,south,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,yes,train bus or ship
back hometown,20,student,about a month,north,south,over 200 km,never or seldom,normal,male,zero,no,drive or ride by yourself
back hometown,23,student(part-time),about a month,north,west,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,yes,train bus or ship
back hometown,22,student,about a month,north,west,100-150km,attend friend gatherings (more than twice a week),good,female,zero,no,train bus or ship
travel,29,office worker,two to three months,south,south,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,no,drive or ride by yourself
travel,18,student(part-time),once every two weeks(or less),north,west,below 50 km,attend friend gatherings (more than twice a week),good,male,0-30000,yes,train bus or ship
back hometown,19,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings (more than twice a week),good,female,zero,no,drive or ride by yourself
back hometown,22,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,yes,drive or ride by yourself
back hometown,19,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,25,student,about a month,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,yes,train bus or ship
back hometown,18,student,once every two weeks(or less),north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,HSR or airplane
back hometown,23,student,about a month,north,south,over 200 km,attend friend gatherings (more than twice a week),good,male,zero,no,HSR or airplane
back hometown,19,student,once every two weeks(or less),north,west,100-150km,never or seldom,good,female,zero,no,train bus or ship
back hometown,19,student,about a month,south,south,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
back hometown,21,student,three months to half a year,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,yes,train bus or ship
back hometown,20,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
travel,19,student,once every two weeks(or less),south,south,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,yes,train bus or ship
back hometown,21,student(part-time),once every two weeks(or less),north,north,below 50 km,never or seldom,good,male,0-30000,no,drive or ride by yourself
travel,23,student(part-time),once every two weeks(or less),north,north,50-100km,attend friend gatherings (more than twice a week),normal,male,0-30000,no,HSR or airplane
travel,25,office worker,half a year to one year,north,south,over 200 km,attend friend gatherings (more than twice a week),normal,male,30000-60000,yes,HSR or airplane
back hometown,22,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,yes,train bus or ship
travel,25,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings (more than twice a week),good,female,0-30000,no,train bus or ship
travel,27,office worker,once every two weeks(or less),south,south,below 50 km,never or seldom,normal,male,30000-60000,no,drive or ride by yourself
back hometown,24,student,about a month,north,north,50-100km,never or seldom,good,female,zero,yes,train bus or ship
back hometown,20,student,once every two weeks(or less),north,west,100-150km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
back hometown,22,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
back hometown,23,student(part-time),once every two weeks(or less),north,west,100-150km,never or seldom,good,male,0-30000,no,train bus or ship
back hometown,22,student,about a month,north,west,100-150km,attend friend gatherings (more than twice a week),good,male,0-30000,no,drive or ride by yourself
back hometown,19,student,about a month,north,north,below 50 km,never or seldom,normal,female,zero,yes,drive or ride by yourself
back hometown,21,student,three months to half a year,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,HSR or airplane
back hometown,20,student,once every two weeks(or less),south,south,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,train bus or ship
back hometown,22,student,half a year to one year,north,south,over 200 km,never or seldom,normal,male,zero,no,HSR or airplane
back hometown,23,office worker,about a month,north,west,over 200 km,never or seldom,normal,male,0-30000,yes,HSR or airplane
back hometown,24,student(part-time),three months to half a year,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,female,30000-60000,yes,train bus or ship
back hometown,22,student,three months to half a year,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,no,HSR or airplane
back hometown,18,student,once every two weeks(or less),west,south,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,drive or ride by yourself
back hometown,22,student(part-time),once every two weeks(or less),north,west,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,drive or ride by yourself
back hometown,27,office worker,about a month,west,west,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,30000-60000,no,drive or ride by yourself
back hometown,18,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,23,office worker,about a month,south,south,50-100km,never or seldom,good,female,60000 above,yes,drive or ride by yourself
back hometown,26,office worker,two to three months,north,south,over 200 km,attend friend gatherings (more than twice a week),good,male,30000-60000,no,HSR or airplane
back hometown,27,office worker,half a year to one year,outlying island(foreign),south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,60000 above,yes,HSR or airplane
back hometown,21,student(part-time),three months to half a year,west,north,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,no,train bus or ship
back hometown,23,student(part-time),once every two weeks(or less),north,west,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,yes,train bus or ship
back hometown,21,student(part-time),about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,no,HSR or airplane
back hometown,21,student,once every two weeks(or less),south,south,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
back hometown,22,student,about a month,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,HSR or airplane
back hometown,21,student(part-time),about a month,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,no,train bus or ship
back hometown,29,office worker,once every two weeks(or less),north,east,150-200km,never or seldom,good,female,30000-60000,yes,train bus or ship
back hometown,19,student(part-time),once every two weeks(or less),north,north,below 50 km,never or seldom,good,male,0-30000,yes,train bus or ship
back hometown,31,office worker,about a month,north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,no,drive or ride by yourself
back hometown,18,student,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,no,train bus or ship
back hometown,18,student,three months to half a year,north,outlying island(foreign),over 200 km,never or seldom,normal,female,zero,no,HSR or airplane
back hometown,18,student,once every two weeks(or less),north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
back hometown,25,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings (more than twice a week),normal,male,0-30000,no,train bus or ship
back hometown,19,student,once every two weeks(or less),north,west,100-150km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,yes,train bus or ship
travel,37,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,30000-60000,yes,drive or ride by yourself
back hometown,28,office worker,two to three months,north,east,over 200 km,never or seldom,good,male,30000-60000,no,drive or ride by yourself
back hometown,25,student(part-time),once every two weeks(or less),north,south,150-200km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,yes,train bus or ship
back hometown,20,student(part-time),two to three months,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,no,train bus or ship
travel,23,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,yes,drive or ride by yourself
back hometown,22,student(part-time),two to three months,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,no,train bus or ship
back hometown,21,student,once every two weeks(or less),north,west,50-100km,attend friend gatherings (more than twice a week),normal,male,zero,no,train bus or ship
back hometown,24,student,about a month,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,train bus or ship
back hometown,28,office worker,about a month,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,yes,HSR or airplane
back hometown,24,student,about a month,west,north,100-150km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,no,train bus or ship
travel,28,office worker,three months to half a year,north,south,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,yes,drive or ride by yourself
back hometown,29,office worker,three months to half a year,north,south,over 200 km,never or seldom,good,female,30000-60000,yes,HSR or airplane
back hometown,21,student,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,HSR or airplane
back hometown,30,office worker,once every two weeks(or less),west,west,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,drive or ride by yourself
back hometown,24,student(part-time),about a month,east,north,100-150km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,train bus or ship
back hometown,24,student,about a month,west,south,over 200 km,never or seldom,good,male,zero,no,train bus or ship
back hometown,24,student,about a month,north,north,100-150km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,yes,drive or ride by yourself
back hometown,22,student(part-time),about a month,west,south,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,train bus or ship
back hometown,19,student,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
back hometown,24,student,about a month,north,south,over 200 km,never or seldom,good,male,0-30000,no,HSR or airplane
back hometown,21,student(part-time),about a month,north,west,50-100km,never or seldom,normal,male,0-30000,yes,train bus or ship
back hometown,22,student,about a month,north,west,100-150km,never or seldom,normal,female,zero,no,train bus or ship
back hometown,19,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,22,student(part-time),once every two weeks(or less),west,west,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,drive or ride by yourself
back hometown,24,student,about a month,north,west,100-150km,never or seldom,normal,female,zero,no,HSR or airplane
back hometown,24,office worker,once every two weeks(or less),west,west,below 50 km,attend friend gatherings (more than twice a week),good,male,30000-60000,yes,drive or ride by yourself
back hometown,20,student,about a month,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,train bus or ship
back hometown,22,student,about a month,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
back hometown,19,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,yes,train bus or ship
back hometown,35,office worker,half a year to one year,south,north,over 200 km,never or seldom,not good,female,60000 above,no,drive or ride by yourself
back hometown,20,student(part-time),half a year to one year,north,south,150-200km,attend friend gatherings (more than twice a week),good,male,0-30000,no,HSR or airplane
travel,23,student(part-time),once every two weeks(or less),north,north,below 50 km,never or seldom,good,female,zero,yes,train bus or ship
back hometown,22,student(part-time),about a month,north,south,over 200 km,attend friend gatherings (more than twice a week),normal,male,0-30000,yes,train bus or ship
back hometown,25,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,30000-60000,no,train bus or ship
travel,20,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,19,student,about a month,south,south,150-200km,never or seldom,good,male,zero,no,train bus or ship
back hometown,23,office worker,about a month,west,west,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,30000-60000,no,drive or ride by yourself
back hometown,34,office worker,three months to half a year,west,north,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,yes,drive or ride by yourself
back hometown,25,student,half a year to one year,south,east,over 200 km,never or seldom,good,male,0-30000,no,train bus or ship
back hometown,24,office worker,once every two weeks(or less),west,west,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,drive or ride by yourself
travel,24,student,half a year to one year,north,west,100-150km,attend friend gatherings (more than twice a week),normal,male,0-30000,no,train bus or ship
back hometown,19,student,about a month,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),not good,male,zero,no,train bus or ship
back hometown,18,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,yes,train bus or ship
back hometown,19,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,drive or ride by yourself
travel,18,student,about a month,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,train bus or ship
back hometown,21,student(part-time),once every two weeks(or less),north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,yes,train bus or ship
back hometown,23,student(part-time),about a month,north,south,over 200 km,attend friend gatherings (more than twice a week),good,male,0-30000,no,train bus or ship
back hometown,17,student,two to three months,east,west,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,no,train bus or ship
back hometown,22,student(part-time),once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,yes,drive or ride by yourself
travel,18,student,two to three months,west,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,train bus or ship
back hometown,35,office worker,three months to half a year,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,female,30000-60000,yes,train bus or ship
back hometown,25,office worker,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,yes,HSR or airplane
back hometown,23,office worker,two to three months,north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,female,30000-60000,yes,train bus or ship
back hometown,21,student(part-time),two to three months,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,female,zero,no,train bus or ship
back hometown,20,student,two to three months,south,north,over 200 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,train bus or ship
back hometown,18,student,about a month,north,west,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,33,office worker,half a year to one year,south,west,below 50 km,never or seldom,normal,male,0-30000,no,train bus or ship
back hometown,18,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,19,student,once every two weeks(or less),north,west,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
travel,28,office worker,two to three months,west,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,30000-60000,no,train bus or ship
travel,34,office worker,half a year to one year,north,south,over 200 km,never or seldom,normal,female,30000-60000,no,HSR or airplane
back hometown,19,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,train bus or ship
back hometown,21,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,?,yes,train bus or ship
back hometown,22,student,once every two weeks(or less),north,north,100-150km,attend friend gatherings (more than twice a week),good,female,zero,yes,train bus or ship
back hometown,19,student,about a month,north,north,below 50 km,attend friend gatherings (more than twice a week),normal,female,zero,no,train bus or ship
back hometown,20,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,yes,train bus or ship
back hometown,24,student,once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,train bus or ship
back hometown,19,student(part-time),once every two weeks(or less),north,north,below 50 km,attend friend gatherings (more than twice a week),good,female,0-30000,no,train bus or ship
back hometown,25,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,train bus or ship
back hometown,21,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,20,student,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,zero,no,HSR or airplane
back hometown,19,student,once every two weeks(or less),north,north,below 50 km,never or seldom,normal,female,zero,no,train bus or ship
back hometown,19,office worker,about a month,north,north,50-100km,never or seldom,normal,female,zero,no,train bus or ship
back hometown,28,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings (more than twice a week),good,female,0-30000,yes,HSR or airplane
back hometown,21,student,about a month,north,east,150-200km,never or seldom,good,male,zero,no,train bus or ship
back hometown,17,student,once every two weeks(or less),north,north,below 50 km,never or seldom,not good,female,zero,yes,train bus or ship
back hometown,21,student(part-time),once every two weeks(or less),north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,female,0-30000,yes,train bus or ship
travel,38,office worker,about a month,north,south,over 200 km,attend friend gatherings (more than twice a week),good,female,0-30000,yes,HSR or airplane
back hometown,18,student,about a month,west,south,over 200 km,attend friend gatherings (more than twice a week),good,male,zero,no,train bus or ship
back hometown,25,office worker,about a month,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,train bus or ship
travel,23,office worker,?,south,south,below 50 km,never or seldom,not good,male,0-30000,no,drive or ride by yourself
back hometown,25,office worker,once every two weeks(or less),south,south,50-100km,never or seldom,normal,male,0-30000,no,train bus or ship
back hometown,18,student,about a month,north,west,over 200 km,attend friend gatherings (more than twice a week),good,male,zero,no,HSR or airplane
back hometown,23,student,three months to half a year,north,outlying island(foreign),over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,HSR or airplane
back hometown,21,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,train bus or ship
back hometown,18,office worker,about a month,north,south,over 200 km,never or seldom,normal,male,0-30000,no,HSR or airplane
back hometown,120,student,half a year to one year,outlying island(foreign),outlying island(foreign),over 200 km,never or seldom,not good,male,60000 above,yes,drive or ride by yourself
back hometown,19,student,two to three months,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,19,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings (more than twice a week),good,female,0-30000,no,drive or ride by yourself
back hometown,19,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings (more than twice a week),good,female,zero,no,drive or ride by yourself
back hometown,24,office worker,about a month,north,west,100-150km,attend friend gatherings (more than twice a week),good,male,0-30000,yes,drive or ride by yourself
back hometown,26,student(part-time),once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,yes,train bus or ship
back hometown,20,student,once every two weeks(or less),north,north,below 50 km,never or seldom,normal,male,zero,no,train bus or ship
back hometown,17,student,everyday,west,west,50-100km,never or seldom,not good,male,zero,no,drive or ride by yourself
back hometown,20,student,about a month,north,north,below 50 km,never or seldom,normal,male,zero,no,train bus or ship
back hometown,22,student,about a month,north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,drive or ride by yourself
back hometown,29,office worker,three months to half a year,west,north,100-150km,attend friend gatherings occasionally (1-2 times a week),normal,female,0-30000,yes,train bus or ship
